Date,Close,High,Low,Open,Volume
2020-01-02,296.12530517578125,296.1435533670269,293.9923531023892,294.9129966046256,59151200
2020-01-03,293.8829650878906,295.0041439336054,292.688876931802,292.74356586892327,77709700
2020-01-06,295.0041198730469,295.08615327203825,292.0143098616565,292.1328118215423,55653900
2020-01-07,294.1746826171875,294.91301114756425,293.7280191701127,294.4390032296372,40496400
2020-01-08,295.7425231933594,296.9548319309042,294.1200195395933,294.3661197989049,68296000
2020-01-09,297.7477722167969,297.820709338136,296.71775096243204,297.3011366636997,48473300
2020-01-10,296.89093017578125,298.48608887965315,296.42607426931494,298.3311461832845,53029300
2020-01-13,298.9327087402344,298.9418050156996,297.0823260256532,297.51074112791366,47086800
2020-01-14,298.4770812988281,299.54354357146394,297.9210399203598,298.4953016751799,62832800
2020-01-15,299.1515808105469,299.9081297404282,298.30387436905687,298.3859077842946,72056600
2020-01-16,301.6400451660156,301.6400451660156,300.3001103883815,300.5279902633712,54050300
2020-01-17,302.5788269042969,302.7884585291991,301.5761501633732,302.3509470912397,95846000
2020-01-21,301.98638916015625,302.78853074420584,301.5488776178504,301.62178693577914,77742400
2020-01-22,302.0227966308594,303.49035714511143,301.867853930092,302.84315842409643,48914900
2020-01-23,302.3692321777344,302.77942705597485,300.2636244798141,301.37567931823935,51963000
2020-01-24,299.68023681640625,303.1075588185603,298.3949910655985,303.02552540689584,87578400
2020-01-27,294.8766174316406,296.35327486722645,294.11094423605437,294.4482020679631,84062500
2020-01-28,297.966552734375,298.8416034600196,294.96764649476006,296.2984568633764,63834000
2020-01-29,297.720458984375,299.5526218615138,297.5199236056963,299.32474201380455,53888900
2020-01-30,298.6866149902344,298.89627442765044,294.9129398382602,295.66036446661803,75491800
2020-01-31,293.2631530761719,298.2218209474655,292.35163365596884,298.06685040639036,113845600
2020-02-03,295.4416809082031,297.3011883827756,294.62131896327486,294.7398209430448,69083000
2020-02-04,299.9445495605469,300.81050405404096,298.7231169921296,299.04215432222543,62573200
2020-02-05,303.4083557128906,303.6180152040548,301.4121536768775,302.8705625667215,65951100
2020-02-06,304.4292907714844,304.62070207645655,303.35367662683126,304.3654777307045,50359700
2020-02-07,302.8067626953125,304.4383624299263,302.2598454793981,303.37190028539015,64139400
2020-02-10,305.0672302246094,305.13104324290214,301.8860372115477,301.92250576733755,42070000
2020-02-11,305.5959167480469,307.200171523737,305.0672200674489,306.4162784131797,54864500
2020-02-12,307.56488037109375,307.77451202465284,306.66245727222037,307.02705945948134,43992700
2020-02-13,307.2366638183594,308.2028719590965,305.86938499837,306.14282963542433,54501900
2020-02-14,307.7288818359375,307.84738378054004,306.4527605428289,307.646848447526,64582200
2020-02-18,306.9359130859375,307.79274347896046,305.550385905375,306.7353777212436,57226200
2020-02-19,308.4034729003906,309.077988360176,307.6195795625174,307.9021483533661,48814700
2020-02-20,307.1364440917969,308.67691395841035,304.15575813081296,307.8565243216202,74163400
2020-02-21,303.97344970703125,306.0972773213097,303.153060127596,305.7873641141862,113788200
2020-02-24,293.8920593261719,304.0463696689848,292.8164454315438,294.5483543223174,161088400
2020-02-25,284.986572265625,295.8883379321786,284.1115213155918,295.2776354317167,218913200
2020-02-26,283.93829345703125,289.9634233462724,283.2090890630601,286.3811587759355,194773800
2020-02-27,271.1861572265625,283.99299421889395,271.1861572265625,278.43272007694435,284353500
2020-02-28,270.0467834472656,271.5325647241753,260.2752930240666,263.15569806188904,384975800
2020-03-02,281.741455078125,281.80526809577424,268.40592525729664,271.8241221224841,238703600
